OriginalIndex,Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar,IntensityDiff,SigmaValue,AlphaValue,ReferenceColor,ControlColor
4657,AT2G18160,p04-r02-c02,bZIP,GBF5,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Chromosome",96.40598290598291,5.4975808935638275,0.9997898944722735,whiteish,redish
5202,AT3G06590,p04-r13-c19,ND,RITF1,Nucleus,Chromosome,70.16829812151954,4.0013688306352675,0.9982566334721122,whiteish,redish
5048,AT4G14605,p04-r10-c09,mTERF,MDA1,Plastid,"Plastid, chloroplast stroma",62.73071504446312,3.577238362938106,0.9968239792087914,whiteish,redish
4613,AT5G54630,p04-r01-c06,C2H2,AT5G54630,Cytoplasm,"Cytoplasm, cytoskeleton",61.12992424242424,3.4859527739880503,0.9963863208529895,whiteish,redish
5329,AT1G28300,p04-r16-c02,ABI3-VP1,LEC2,Nucleus,Chromosome,54.40493295019157,3.1024580724857955,0.9937843530429011,whiteish,redish
4775,AT5G43620,p04-r04-c24,C2H2,AT5G43620,Nucleus,Chromosome,-48.677083333333336,-2.7758256824031617,0.00986504569586615,redish,whiteish
5207,AT3G47710,p04-r13-c24,ND,BNQ3,Nucleus,Chromosome,-47.64345238095238,-2.7168825587139676,0.01072262437212556,redish,whiteish
5159,AT4G36920,p04-r12-c24,AP2-EREBP,AP2,Nucleus,Chromosome,-47.150000000000006,-2.688743284577289,0.011157934728234878,redish,whiteish
4823,AT3G13840,p04-r05-c24,GRAS,AT3G13840,Nucleus,Chromosome,-46.87179487179487,-2.6728785513811806,0.011411104959205687,redish,whiteish
4752,AT5G50010,p04-r04-c01,bHLH,AT5G50010,Nucleus,"Nucleus, nucleolus; Chromosome",-43.945238095238096,-2.5059907490502966,0.014448664583684179,redish,whiteish
4774,AT5G43620,p04-r04-c23,C2H2,AT5G43620,Nucleus,Chromosome,43.5140350877193,2.481401264622816,0.985040047815726,whiteish,redish
4705,AT5G50010,p04-r03-c02,bHLH,AT5G50010,Nucleus,"Nucleus, nucleolus; Chromosome",43.369017094017096,2.4731315688283373,0.9848640623610606,whiteish,redish
4753,AT5G50010,p04-r04-c02,bHLH,AT5G50010,Nucleus,"Nucleus, nucleolus; Chromosome",42.579166666666666,2.428090104727405,0.9838685603410687,whiteish,redish
4871,AT3G13840,p04-r06-c24,GRAS,AT3G13840,Nucleus,Chromosome,-40.88214285714287,-2.3313167988604935,0.018497364514963366,redish,whiteish
