19.0,19.0,77.0,80.0,83.0,91.0,32.0,33.0,31.0,33.0,33.0,34.0,63.0,64.0,35.0,34.0,36.0,38.0,43.0,44.0,42.0,42.0,35.0,35.0,36.0,30.0,36.0,35.0,33.0,32.0,36.0,38.0,36.0,39.0,41.0,44.0,79.0,81.0,41.0,40.0,38.0,37.0,34.0,31.0,55.0,56.0,36.0,43.0
21.0,20.0,81.0,82.0,89.0,92.0,32.0,32.0,33.0,34.0,32.0,32.0,67.0,65.0,39.0,39.0,38.0,40.0,45.0,44.0,41.0,42.0,36.0,35.0,32.0,31.0,36.0,35.0,33.0,32.0,39.0,37.0,38.0,40.0,40.0,41.0,78.0,80.0,39.0,38.0,37.0,36.0,35.0,34.0,57.0,59.0,38.0,45.0
28.0,30.0,32.0,36.0,28.0,34.0,30.0,32.0,28.0,29.0,37.0,36.0,39.0,40.0,39.0,43.0,51.0,50.0,42.0,44.0,40.0,39.0,36.0,36.0,39.0,34.0,33.0,34.0,40.0,38.0,58.0,58.0,48.0,49.0,35.0,35.0,79.0,83.0,37.0,36.0,109.0,115.0,45.0,46.0,26.0,26.0,30.0,39.0
33.0,31.0,34.0,39.0,32.0,37.0,35.0,35.0,33.0,31.0,35.0,35.0,41.0,40.0,43.0,43.0,52.0,51.0,45.0,43.0,38.0,39.0,39.0,37.0,37.0,38.0,34.0,36.0,39.0,38.0,62.0,58.0,50.0,49.0,31.0,36.0,80.0,80.0,35.0,36.0,112.0,114.0,47.0,48.0,24.0,26.0,30.0,34.0
24.0,22.0,19.0,25.0,100.0,107.0,80.0,81.0,34.0,32.0,34.0,38.0,34.0,38.0,36.0,32.0,37.0,38.0,49.0,49.0,39.0,42.0,39.0,39.0,35.0,36.0,38.0,38.0,43.0,41.0,40.0,38.0,90.0,91.0,45.0,43.0,33.0,33.0,80.0,79.0,43.0,44.0,35.0,37.0,107.0,112.0,30.0,35.0
23.0,23.0,22.0,27.0,107.0,110.0,86.0,85.0,33.0,33.0,37.0,37.0,35.0,36.0,35.0,35.0,37.0,37.0,49.0,48.0,39.0,38.0,37.0,37.0,33.0,35.0,38.0,37.0,41.0,43.0,40.0,42.0,92.0,91.0,43.0,43.0,32.0,34.0,78.0,79.0,43.0,44.0,37.0,36.0,109.0,112.0,31.0,36.0
21.0,23.0,20.0,23.0,26.0,34.0,39.0,43.0,39.0,36.0,67.0,72.0,41.0,40.0,71.0,73.0,48.0,50.0,39.0,40.0,40.0,39.0,41.0,41.0,39.0,39.0,64.0,66.0,52.0,53.0,41.0,40.0,38.0,37.0,44.0,44.0,35.0,35.0,72.0,73.0,96.0,98.0,87.0,89.0,39.0,40.0,51.0,63.0
24.0,26.0,23.0,24.0,27.0,30.0,36.0,41.0,38.0,36.0,68.0,71.0,41.0,43.0,74.0,75.0,52.0,50.0,39.0,40.0,39.0,38.0,41.0,41.0,40.0,39.0,63.5,61.0,53.0,49.0,39.0,39.0,37.0,36.0,44.0,40.0,34.0,35.0,72.0,74.0,99.0,102.0,88.0,88.0,36.0,37.0,53.0,63.0
110.0,112.0,29.0,27.0,25.0,28.0,29.0,32.0,53.0,55.0,36.0,37.0,87.0,87.0,106.0,110.0,41.0,37.0,35.0,33.0,61.0,60.0,34.0,32.0,33.0,35.0,109.0,110.0,46.0,48.0,82.0,78.0,36.0,36.0,38.0,37.0,43.0,43.0,32.0,35.0,90.0,89.0,38.0,42.0,34.0,30.0,125.0,135.0
113.0,114.0,28.0,27.0,28.0,30.0,32.0,35.0,56.0,57.0,37.0,40.0,87.0,88.0,108.0,109.0,41.0,36.0,34.0,33.0,58.0,60.0,31.0,33.0,31.0,34.0,107.0,108.0,46.0,46.0,79.0,77.0,37.0,38.0,35.0,37.0,42.0,43.0,31.0,33.0,89.0,91.0,41.0,37.5,33.0,35.0,124.0,135.0
75.0,70.0,60.0,63.0,72.0,77.0,90.0,92.0,96.0,97.0,41.0,43.0,71.0,73.0,51.0,50.0,53.0,53.0,76.0,78.0,30.0,31.0,38.0,39.0,90.0,90.0,44.0,42.0,42.0,43.0,103.0,106.0,37.0,38.0,68.0,67.0,40.0,41.0,60.0,61.0,40.0,38.0,36.0,36.0,89.0,94.0,43.0,55.0
77.0,71.0,59.0,62.0,72.0,80.0,93.0,93.0,98.0,99.0,43.0,42.0,73.0,73.0,51.0,50.0,54.0,54.0,79.0,77.0,31.0,31.0,38.0,41.0,91.0,92.0,42.0,44.0,43.0,45.0,107.0,108.0,41.0,40.0,71.0,67.0,45.0,43.0,62.0,60.0,41.0,39.0,37.0,38.0,91.0,93.0,46.0,55.0
28.0,22.0,23.0,24.0,82.0,87.0,37.0,40.0,47.0,46.0,40.0,41.0,85.0,89.0,120.0,120.0,86.0,84.0,41.0,37.0,32.0,33.0,67.0,67.0,86.0,86.0,53.0,55.0,86.0,87.0,69.0,69.0,38.0,36.0,38.0,40.0,92.0,94.0,53.0,53.0,115.0,118.0,96.0,98.0,44.0,46.0,118.0,125.0
25.0,21.0,24.0,26.0,86.0,92.0,39.0,42.0,50.0,50.0,41.0,44.0,88.0,92.0,122.0,122.0,91.0,87.0,42.0,40.0,34.0,36.0,69.0,69.0,89.0,87.0,53.0,55.0,89.0,88.0,69.0,70.0,41.0,43.0,43.0,44.0,97.5,97.0,55.5,54.0,119.0,119.0,99.0,100.0,43.0,44.0,120.0,129.0
24.0,23.0,31.0,41.0,100.0,106.0,92.0,92.0,37.0,35.0,97.0,99.0,45.0,47.0,97.0,98.0,41.0,42.0,119.0,119.0,46.0,47.0,39.0,40.0,44.0,43.0,40.0,42.0,49.0,50.0,55.0,56.0,94.0,96.0,125.0,126.0,50.0,50.0,126.0,128.0,47.0,42.0,35.0,35.0,35.0,38.0,32.0,42.0
32.0,28.0,39.0,46.0,109.0,114.0,100.0,97.0,40.0,36.0,103.0,104.0,46.0,46.0,101.0,103.0,38.0,40.0,123.0,122.0,52.0,48.0,41.0,39.0,43.0,44.0,41.0,40.0,52.0,53.0,59.0,60.0,100.0,101.0,131.0,130.0,51.0,52.0,131.0,131.0,48.0,40.0,36.0,35.0,38.0,41.0,36.5,44.0
36.0,31.0,48.0,46.0,42.0,44.0,47.0,43.0,43.0,43.0,50.0,50.0,81.0,83.0,41.0,43.0,42.0,41.0,49.0,53.0,128.0,129.0,88.0,88.0,99.0,102.0,44.0,44.0,48.0,49.0,45.0,47.0,46.0,45.0,66.0,67.0,124.0,124.0,54.0,55.0,124.0,125.0,38.0,41.0,32.0,34.0,103.0,110.0
26.0,24.0,39.0,40.0,28.0,33.0,32.0,29.0,29.0,30.0,37.0,39.0,76.0,78.0,27.0,29.0,27.0,26.0,31.0,32.0,124.0,126.0,81.0,81.0,98.0,96.0,28.0,29.0,36.0,36.0,32.0,33.0,33.0,33.0,52.0,55.0,121.0,122.0,43.0,40.0,122.0,123.0,29.0,30.0,26.0,27.0,99.0,102.0
